property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,godrej nature plus,sector 33,1.45,15659.0,3,2,3+,20.0,Under Construction,118.0,1,0,0,0,0,0,148,308.6666666666667
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,3.0,Under Construction,1811.0,0,0,0,0,0,0,38,543.3333333333334
flat,ashiana anmol,sector 33,0.9,9464.0,2,2,2,13.0,Relatively New,1105.0,0,0,0,0,0,2,144,475.5
flat,signature signum 95a,sector 95,0.4,7782.0,2,2,2,3.0,New Property,571.0,0,0,0,0,0,1,42,257.0
flat,umang winter hills,sector 77,1.35,7781.0,3,3,3+,7.0,New Property,1451.0,0,0,1,0,0,5,113,578.3333333333334
flat,aardhya homesh,sector 67a,1.85,8043.0,4,4,0,4.0,New Property,2556.0,0,0,0,0,0,0,0,575.0
flat,rof ananda,sector 95,0.25,6579.0,1,1,1,4.0,New Property,344.0,0,0,0,0,0,0,0,380.0
flat,smart world gems,sector 89,0.88,7964.0,2,2,3,2.0,New Property,1228.0,1,0,0,0,0,0,42,552.5
flat,assotech blith,sector 99,1.15,6594.0,2,2,2,2.0,New Property,1235.0,0,1,0,0,0,1,80,872.0
flat,raheja vanya,sector 99a,0.85,6789.0,2,2,2,3.0,New Property,1133.0,0,0,0,0,0,0,63,626.0
flat,vatika inxt floors,sector 82a,0.75,7500.0,2,2,2,1.0,Relatively New,1000.0,0,0,0,0,0,0,0,500.0
flat,godrej oasis,sector 88a,1.5,8108.0,3,3,3+,11.0,New Property,1674.0,0,0,0,0,0,0,51,616.6666666666666
flat,dlf new town heights,sector 91,1.65,6346.0,4,4,3+,11.0,Moderately Old,2139.0,0,0,0,0,1,0,90,650.0
flat,dlf new town heights,sector 91,2.0,6966.0,4,4,3+,16.0,Moderately Old,2468.0,1,0,0,1,1,0,77,717.75
flat,supertech hues,sector 68,0.9,7627.0,2,2,2,1.0,New Property,1311.0,0,0,0,0,0,0,42,590.0
flat,krrish florence estate,sector 70,1.25,6702.0,3,3,3,18.0,Under Construction,1688.0,0,0,0,0,0,0,63,621.6666666666666
flat,piedmont taksila heights,sector 37c,1.0,6506.0,3,3,3+,8.0,Relatively New,1708.0,0,0,0,0,0,1,46,512.3333333333334
flat,experion heartsong,sector 108,1.08,6150.0,3,3,0,2.0,Under Construction,1758.0,0,0,0,0,0,0,0,585.3333333333334
flat,ss the leaf,sector 85,2.15,8929.0,3,5,3,2.0,New Property,2179.0,0,0,0,0,0,0,65,802.6666666666666
flat,m3m urbana,sector 67,1.0,12107.0,1,1,1,17.0,Relatively New,826.0,0,0,0,0,0,0,46,826.0
flat,aipl zen residences,sector 70a,1.65,13074.0,2,2,3,23.0,New Property,1142.0,0,0,0,0,0,0,102,631.0
flat,dlf regal gardens,sector 90,1.79,8081.0,4,3,3+,10.0,Moderately Old,2461.0,0,0,0,0,0,0,75,553.75
flat,godrej air,sector 85,1.8,13139.0,3,3,3,30.0,Under Construction,141.0,0,0,0,0,0,0,66,456.6666666666667
flat,suncity vatsal valley,sector 2,1.45,10140.0,3,3,3,4.0,Under Construction,1430.0,0,0,0,0,0,0,46,476.6666666666667
flat,project krishna colony,sector 7,0.36,5143.0,2,2,1,0.0,Relatively New,700.0,0,0,0,0,0,0,0,350.0
flat,mvn athens,sector 33,0.25,4259.0,2,2,1,0.0,Relatively New,587.0,0,0,0,0,0,0,52,293.5
flat,m3m antalya hills,sector 79,1.15,7497.0,3,3,3+,1.0,Under Construction,1200.0,1,0,0,0,0,0,74,511.3333333333333
